"";"interval";"Sp1";"File";"Plant";"Plant_ID";"Revision_ID";"Species";"Behaviour";"Count";"Coexistence";"Deployment_ID";"n_cam";"Videos";"Days";"Days.in.field";"n";"duration";"long";"lat";"videos_events";"ID";"Dt_correct";"DateTime"
"39";2022-12-20 19:55:00;"sus scrofa";"12200017.AVI";"joxy";"Joxy017";"Rev07";"sus scrofa";"probably eating";1;FALSE;"Joxy017_50";1;22;20,01261574;NA;1;10,466667;-6,403805;36,828312;3,46410161513775;"Joxy017_Rev07_12200017";2022-12-20 19:56:30;2022-12-20 19:56:30
"40";2022-12-21 01:05:00;"cervus elaphus";"IMG_0031.AVI, IMG_0032.AVI, IMG_0033.AVI";"joxy";"Joxy027";"Rev07";"cervus elaphus, cervus elaphus, cervus elaphus";"eating, eating, eating";1;FALSE;"Joxy027_25";1;39;19,78479167;NA;3;46,707586;-6,4043;36,829276;6;"Joxy027_Rev07_IMG_0031";2022-12-21 01:05:08;2022-12-21 01:05:08
"41";2022-12-21 10:05:00;"cervus elaphus";"12210007.AVI";"joxy";"Joxy018";"Rev07";"cervus elaphus";"probably eating";1;FALSE;"Joxy018_50";1;10;20,01363426;NA;1;10,466667;-6,403483;36,828203;3,46410161513775;"Joxy018_Rev07_12210007";2022-12-21 10:07:14;2022-12-21 10:07:14
"42";2022-12-21 18:40:00;"cervus elaphus";"IMG_0332.AVI";"joxy";"Joxy015";"Rev07";"cervus elaphus";"probably eating";1;FALSE;"Joxy015_14";1;335;202,9843056;NA;1;20,533128;-6,403548;36,829027;3,46410161513775;"Joxy015_Rev07_IMG_0332";2022-12-21 18:41:22;2022-12-21 18:41:22
"43";2022-12-21 19:00:00;"cervus elaphus";"12210047.AVI, 12210048.AVI";"joxy";"Joxy024";"Rev07";"cervus elaphus, cervus elaphus";"eating, eating";1;FALSE;"Joxy024_42";1;49;19,18386574;NA;2;20,933334;-6,403635;36,830234;4,89897948556636;"Joxy024_Rev07_12210047";2022-12-21 19:01:24;2022-12-21 19:01:24
"44";2022-12-22 08:00:00;"cervus elaphus";"IMG_0064.MP4";"joxy";"Joxy023";"Rev07";"cervus elaphus";"probably eating";1;FALSE;"Joxy023_38";1;68;19,87423611;NA;1;10;-6,403889;36,829375;3,46410161513775;"Joxy023_Rev07_IMG_0064";2022-12-22 07:58:17;2022-12-22 07:58:17
"45";2023-01-15 15:55:00;"cervus elaphus";"IMG_0002.AVI";"joxy";"Joxy022";"Rev09";"cervus elaphus";"probably eating";1;FALSE;"Joxy022_21";1;85;18,9450463;NA;1;10,249836;-6,402356;36,828383;3,46410161513775;"Joxy022_Rev09_IMG_0002";2023-01-15 15:57:02;2023-01-15 15:57:02
"46";2023-01-16 02:00:00;"vulpes vulpes";"IMG_0014.MP4";"joxy";"Joxy004";"Rev09";"vulpes vulpes";"searching for food";1;FALSE;"Joxy004_32";1;141;18,92805556;NA;1;10;-6,403967;36,830325;3,46410161513775;"Joxy004_Rev09_IMG_0014";2023-01-16 02:00:08;2023-01-16 02:00:08
"47";2023-01-16 05:20:00;"cervus elaphus";"IMG_0005.AVI, IMG_0006.AVI, IMG_0007.AVI, IMG_0008.AVI, IMG_0009.AVI, IMG_0010.AVI, IMG_0011.AVI, IMG_0012.AVI";"joxy";"Joxy014";"Rev09";"cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus";"probably eating, probably eating, probably eating, probably eating, eating, probably eating, probably eating, probably eating";1;FALSE;"Joxy014_02";1;512;18,93256944;NA;8;18,374706;-6,403102;36,828467;9,79795897113271;"Joxy014_Rev09_IMG_0005";2023-01-16 05:20:16;2023-01-16 05:20:16
"48";2023-01-16 15:10:00;"cervus elaphus";"IMG_0016.MP4, IMG_0017.MP4, IMG_0018.MP4, IMG_0019.MP4, IMG_0020.MP4, IMG_0021.MP4, IMG_0022.MP4, IMG_0023.MP4";"joxy";"Joxy004";"Rev09";"cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus";"probably eating, probably eating, eating, eating, eating, probably eating, eating, probably eating";1;FALSE;"Joxy004_32";1;141;18,92805556;NA;8;173;-6,403967;36,830325;9,79795897113271;"Joxy004_Rev09_IMG_0016";2023-01-16 15:09:06;2023-01-16 15:09:06
