"","plant","plant_ID","DateTime","Sp1","behaviour","Count","ncam","Videos","Days","duration","TimestampIssues","Long","Lat","path"
"449","plen","Plen313","2019-09-16 9:13:50","sylvia melanocephala","NV / prob_feeding",1,1,NA,9,25,NA,-6.446062,36.9647111,"/Helen_file/GH010005"
"450","plen","Plen313","2019-01-14 13:50:55","sylvia melanocephala","feeding",1,1,NA,9,98,NA,-6.446062,36.9647111,"/Helen_file/GH050001"
"451","plen","Plen313","2019-10-15 9:10:39","sylvia atricapilla","NV / exploring / prob_feeding / preening / perching / fnl",1,1,NA,9,308,NA,-6.446062,36.9647111,"/Helen_file/GH020021"
"452","plen","Plen313","2019-12-30 9:20:26","sylvia melanocephala","feeding / exploring / perching",1,1,NA,9,356,NA,-6.446062,36.9647111,"/Helen_file/GH020039"
"453","plen","Plen313","2019-01-14 14:17:36","sylvia melanocephala","prob feeding",1,1,NA,9,17,NA,-6.446062,36.9647111,"/Helen_file/GH070001"
"454","plen","Plen313","2019-01-14 14:37:21","sylvia melanocephala","exploring/not feeding",1,1,NA,9,32,NA,-6.446062,36.9647111,"/Helen_file/GH080001"
"455","plen","Plen313","2019-12-30 10:24:55","sylvia melanocephala","exploring / perching/ prob_feeding",1,1,NA,9,57,NA,-6.446062,36.9647111,"/Helen_file/GH050039"
"456","plen","Plen313","2019-11-26 9:56:28","erithacus rubecula","perching / prob_feeding / NV",1,1,NA,9,78,NA,-6.446062,36.9647111,"/Helen_file/GH050036"
"457","plen","Plen313","2019-09-16 9:41:32","sylvia melanocephala","feeding / exploring",1,1,NA,9,28,NA,-6.446062,36.9647111,"/Helen_file/GH020005"
"458","plen","Plen313","2019-12-11 10:45:32","sylvia melanocephala","exploring / prob_feeding",1,1,NA,9,107,NA,-6.446062,36.9647111,"/Helen_file/GH060039"
"459","plen","Plen313","2019-09-16 10:06:43","sylvia melanocephala","feeding / exploring",1,1,NA,9,94,NA,-6.446062,36.9647111,"/Helen_file/GH040005"
"460","plen","Plen313","2019-11-12 8:50:27","chloris chloris","feeding / NV / perching",1,1,NA,9,491,NA,-6.446062,36.9647111,"/Helen_file/GH020021"
"461","plen","Plen314","2018-11-21 10:18:00","sylvia melanocephala","exploring/not feeding",1,1,NA,9,11,NA,-6.4462849,36.9644358,"/Helen_file/GP027435"
"462","plen","Plen314","2018-11-21 10:27:44","sylvia atricapilla","prob feeding",1,1,NA,9,66,NA,-6.4462849,36.9644358,"/Helen_file/GP027435; GP037435"
