RootFolder,File,RelativePath,DateTime,DeleteFlag,Behaviour,Sex,Sp1,Count1,Sp2,Count2,Sp3,Count3,Juvenile,Favourite,Obs,Behaviour2,
indet,IMG_0223.AVI,SUMHAL_YR1\Rubus\Rev_2_20210915\Rulm_002, 2023-04-18 12:29:29,false,probably eating,,saxicola rubicola,0,,0,,0,false,false,,,
indet,IMG_0266.AVI,SUMHAL_YR1\Rubus\Rev_2_20210915\Rulm_002, 2023-04-18 12:29:29,false,visits (using plant),,saxicola rubicola,0,,0,,0,false,false,,,
indet,IMG_0267.AVI,SUMHAL_YR1\Rubus\Rev_2_20210915\Rulm_002, 2023-04-18 12:29:29,false,probably eating,,saxicola rubicola,0,,0,,0,false,false,,,
indet,IMG_0236.AVI,SUMHAL_YR1\Rubus\Rev_2_20210915\Rulm_004, 2023-04-18 12:29:29,false,searching for food,,?,0,,0,,0,false,false,,,
indet,IMG_0009.AVI,SUMHAL_YR1\Rubus\Rev_2_20210915\Rulm_005, 2023-04-18 12:29:29,false,visits (using plant),,sylvia atricapilla,0,,0,,0,false,false,,,
indet,IMG_0031.AVI,SUMHAL_YR1\Rubus\Rev_2_20210915\Rulm_005, 2023-04-18 12:29:29,false,searching for food,,sylvia cantillans,0,,0,,0,false,true,,,
indet,IMG_0184.AVI,SUMHAL_YR1\Rubus\Rev_2_20210915\Rulm_005, 2023-04-18 12:29:29,false,probably eating,,rattus,0,,0,,0,false,true,,,
indet,IMG_0260.AVI,SUMHAL_YR1\Rubus\Rev_2_20210915\Rulm_006, 2023-04-18 12:29:29,false,visits (using plant),,sylvia cantillans,0,,0,,0,false,true,,,
indet,IMG_0346.AVI,SUMHAL_YR1\Rubus\Rev_2_20210915\Rulm_007, 2023-04-18 12:29:29,false,searching for food,,hippolais polyglota,0,,0,,0,false,true,,,
indet,IMG_0001.AVI,SUMHAL_YR1\Rubus\Rev_2_20210915\Rulm_010, 2023-04-18 12:29:29,false,probably eating,,sylvia melanocephala,2,,0,,0,false,false,,,
indet,IMG_0002.AVI,SUMHAL_YR1\Rubus\Rev_2_20210915\Rulm_011, 2023-04-18 12:29:29,false,eating,,sylvia conspicillata,0,,0,,0,false,true,,,
indet,IMG_0003.AVI,SUMHAL_YR1\Rubus\Rev_2_20210915\Rulm_011, 2023-04-18 12:29:29,false,eating,,sylvia conspicillata,0,,0,,0,false,false,,,
indet,IMG_0004.AVI,SUMHAL_YR1\Rubus\Rev_2_20210915\Rulm_011, 2023-04-18 12:29:29,false,eating,,sylvia conspicillata,0,,0,,0,false,false,,,
indet,IMG_0050.AVI,SUMHAL_YR1\Rubus\Rev_2_20210915\Rulm_012, 2023-04-18 12:29:29,false,visits (using plant),,?,0,,0,,0,false,false,,,
indet,IMG_0443.AVI,SUMHAL_YR1\Rubus\Rev_2_20210915\Rulm_017, 2023-04-18 12:29:29,false,visits (using plant),,emberiza calandra,0,,0,,0,false,true,,,
indet,IMG_0528.AVI,SUMHAL_YR1\Rubus\Rev_2_20210915\Rulm_017, 2023-04-18 12:29:29,false,visits (using plant),,ficedula hypoleuca,0,,0,,0,false,true,,,
indet,IMG_0537.AVI,SUMHAL_YR1\Rubus\Rev_2_20210915\Rulm_017, 2023-04-18 12:29:29,false,visits (using plant),,ficedula hypoleuca,0,,0,,0,false,false,,,
indet,IMG_0539.AVI,SUMHAL_YR1\Rubus\Rev_2_20210915\Rulm_017, 2023-04-18 12:29:29,false,visits (using plant),,ficedula hypoleuca,0,,0,,0,false,false,,,
indet,IMG_0549.AVI,SUMHAL_YR1\Rubus\Rev_2_20210915\Rulm_017, 2023-04-18 12:29:29,false,visits (using plant),,ficedula hypoleuca,0,sylvia melanocephala,0,,0,false,true,,,
indet,IMG_0550.AVI,SUMHAL_YR1\Rubus\Rev_2_20210915\Rulm_017, 2023-04-18 12:29:29,false,searching for food,,sylvia conspicillata,0,,0,,0,false,true,,,
indet,IMG_0552.AVI,SUMHAL_YR1\Rubus\Rev_2_20210915\Rulm_017, 2023-04-18 12:29:29,false,visits (using plant),,sylvia conspicillata,0,,0,,0,false,false,,,
indet,IMG_0034.AVI,SUMHAL_YR1\Rubus\Rev_2_20210915\Rulm_018, 2023-04-18 12:29:29,false,probably eating,,sylvia melanocephala,0,,0,,0,false,true,,,
indet,IMG_0201.AVI,SUMHAL_YR1\Rubus\Rev_2_20210915\Rulm_018, 2023-04-18 12:29:29,false,searching for food,,hippolais polyglota,0,,0,,0,false,false,,,
indet,IMG_0074.AVI,SUMHAL_YR1\Rubus\Rev_2_20210915\Rulm_020, 2023-04-18 12:29:29,false,visits (using plant),,sylvia conspicillata,0,,0,,0,false,true,,,
indet,IMG_0013.AVI,SUMHAL_YR1\Rubus\Rev_3_20210930\Rulm_001, 2023-04-18 12:29:29,false,eating,,sylvia communis,0,,0,,0,false,false,,,
indet,IMG_0015.AVI,SUMHAL_YR1\Rubus\Rev_3_20210930\Rulm_001, 2023-04-18 12:29:29,false,eating,,sylvia communis,0,,0,,0,false,false,,,
indet,IMG_0016.AVI,SUMHAL_YR1\Rubus\Rev_3_20210930\Rulm_001, 2023-04-18 12:29:29,false,eating,,sylvia communis,0,,0,,0,false,false,,,
indet,IMG_0078.AVI,SUMHAL_YR1\Rubus\Rev_3_20210930\Rulm_001, 2023-04-18 12:29:29,false,visits (using plant),,cettia cetti,0,,0,,0,false,true,,,
indet,IMG_0029.AVI,SUMHAL_YR1\Rubus\Rev_3_20210930\Rulm_003, 2023-04-18 12:29:29,false,probably eating,,saxicola rubetra,0,,0,,0,false,true,,,
indet,IMG_0181.AVI,SUMHAL_YR1\Rubus\Rev_3_20210930\Rulm_003, 2023-04-18 12:29:29,false,visits (using plant),,ficedula hypoleuca,0,,0,,0,false,true,,,
